,Country,Track Name,Artist Name,Album Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,TSignature,Positiveness
223,AUS,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,1989 (Taylor's Version),91,2023-10-26,AR,0.629,0.345,180381,0.413,7.62e-05,7,0.0603,-13.178,1,0.055,77.983,4,0.306
227,AUS,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",95,2023-07-13,AR,0.444,0.959,222370,0.0911,1.05e-06,0,0.098,-17.665,1,0.0307,78.403,4,0.142
212,AUS,Agora Hills,Doja Cat,Scarlet,82,2023-09-20,AR,0.755,0.183,265360,0.687,0.000177,8,0.125,-6.247,0,0.101,123.01,4,0.381
234,AUS,Anti-Hero,Taylor Swift,Midnights,93,2022-10-21,AR,0.637,0.13,200690,0.643,1.8e-06,4,0.142,-6.571,1,0.0519,97.008,4,0.533
228,AUS,As It Was,Harry Styles,Harry's House,95,2022-05-20,AR,0.52,0.342,167303,0.731,0.00101,6,0.311,-5.338,0,0.0557,173.93,4,0.662
249,AUS,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],90,2023-06-23,AR,0.77,0.519,109750,0.58,0.000127,0,0.233,-8.393,1,0.247,144.072,4,0.753
238,AUS,Calm Down (with Selena Gomez),Rema,Rave & Roses Ultra,81,2023-04-27,AR,0.799,0.429,239318,0.802,0.00128,11,0.171,-5.196,1,0.0371,107.008,4,0.811
241,AUS,Chemical,Post Malone,Chemical,88,2023-04-14,AR,0.498,0.00136,184013,0.897,0.0,2,0.118,-4.907,1,0.045,169.902,4,0.373
204,AUS,Cruel Summer,Taylor Swift,Lover,99,2019-08-23,AR,0.552,0.117,178427,0.702,2.06e-05,9,0.105,-5.707,1,0.157,169.994,4,0.564
215,AUS,Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),94,2023-05-25,AR,0.671,0.0207,176579,0.845,0.0,11,0.329,-4.93,0,0.048,110.056,4,0.775
221,AUS,Daylight,David Kushner,Daylight,95,2023-04-14,AR,0.508,0.83,212954,0.43,0.000441,2,0.093,-9.475,0,0.0335,130.09,4,0.324
229,AUS,Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),89,1977-02-04,AR,0.828,0.0644,257800,0.492,0.00428,0,0.128,-9.744,1,0.0276,120.151,4,0.789
220,AUS,Fast Car,Luke Combs,Gettin' Old,89,2023-03-24,AR,0.712,0.186,265493,0.603,0.0,8,0.115,-5.52,1,0.0262,97.994,4,0.67
226,AUS,Flowers,Miley Cyrus,Endless Summer Vacation,92,2023-08-18,AR,0.706,0.0584,200600,0.691,6.99e-05,0,0.0232,-4.775,1,0.0633,118.048,4,0.632
242,AUS,Got Me Started,Troye Sivan,Something To Give Each Other,82,2023-10-13,AR,0.777,0.223,198448,0.686,0.00148,7,0.318,-6.498,0,0.0308,127.002,4,0.582
248,AUS,Heat Waves,Glass Animals,Dreamland,91,2020-08-07,AR,0.761,0.44,238805,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531
230,AUS,I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",91,2022-05-13,AR,0.704,0.0826,148486,0.797,0.000745,0,0.0546,-5.927,1,0.0475,139.994,4,0.825
206,AUS,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,93,2023-08-25,AR,0.429,0.554,227196,0.453,2e-06,0,0.102,-7.746,1,0.0459,77.639,4,0.155
247,AUS,IDGAF (feat. Yeat),Drake,For All The Dogs,94,2023-10-06,AR,0.663,0.0464,260111,0.67,8.92e-05,8,0.205,-8.399,1,0.271,136.952,4,0.138
244,AUS,Iris,The Goo Goo Dolls,Dizzy up the Girl,87,1998-09-11,AR,0.315,0.00125,289533,0.715,7.97e-06,11,0.0942,-8.072,0,0.0362,155.925,3,0.497
201,AUS,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),93,2023-10-26,AR,0.596,0.0504,229478,0.658,0.0,0,0.127,-7.346,1,0.036,100.012,4,0.176
236,AUS,Kill Bill,SZA,SOS,92,2022-12-08,AR,0.644,0.0521,153947,0.735,0.144,8,0.161,-5.747,1,0.0391,88.98,4,0.418
211,AUS,Last Night,Morgan Wallen,One Thing At A Time,86,2023-03-03,AR,0.492,0.467,163855,0.675,0.0,6,0.142,-5.456,1,0.0389,203.759,4,0.478
219,AUS,Lil Boo Thang,Paul Russell,Lil Boo Thang,86,2023-08-18,AR,0.85,0.152,114234,0.699,0.0,0,0.32,-3.292,1,0.0776,114.481,4,0.915
231,AUS,Mr. Brightside,The Killers,Hot Fuss,88,2004,AR,0.352,0.00121,222973,0.911,0.0,1,0.0995,-5.23,1,0.0747,148.033,4,0.236
214,AUS,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,97,2023-09-15,AR,0.504,0.868,137773,0.308,0.135,9,0.158,-14.958,1,0.0321,113.95,4,0.121
237,AUS,No Role Modelz,J. Cole,2014 Forest Hills Drive,91,2014-12-09,AR,0.69,0.324,292799,0.521,0.0,10,0.0534,-8.492,0,0.339,100.028,4,0.494
210,AUS,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),91,2023-10-26,AR,0.793,0.186,146437,0.512,3.81e-05,0,0.0889,-9.319,1,0.0338,109.994,4,0.0662
225,AUS,One Of Your Girls,Troye Sivan,Something To Give Each Other,88,2023-10-13,AR,0.629,0.0878,181482,0.654,0.00655,11,0.22,-7.852,0,0.0584,93.034,4,0.799
202,AUS,Paint The Town Red,Doja Cat,Scarlet,89,2023-09-20,AR,0.864,0.255,230480,0.556,3.85e-06,2,0.112,-7.683,0,0.194,99.974,4,0.726
239,AUS,Pink + White,Frank Ocean,Blonde,91,2016-08-20,AR,0.545,0.667,184516,0.545,5.48e-05,9,0.417,-7.362,1,0.107,159.94,3,0.549
218,AUS,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,Popular (Music from the HBO Original Series),92,2023-06-02,AR,0.855,0.0569,215467,0.678,3.69e-05,1,0.412,-6.276,1,0.189,99.029,4,0.852
205,AUS,Prada,cassö,Prada,94,2023-08-11,AR,0.638,0.001,132359,0.717,1.79e-06,8,0.113,-5.804,1,0.0375,141.904,4,0.422
209,AUS,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,For All The Dogs,88,2023-10-06,AR,0.645,0.0377,319192,0.729,0.0,2,0.384,-4.56,1,0.0528,146.01,4,0.142
